肉,고기,육
六,여섯,육
音,소리,음
陰,응달,음
飮,마실,음
吟,읊을,음
邑,고을,읍
依,의지할,의
矣,어조사,의
醫,의원,의
議,의논할,의
意,뜻,의
衣,옷,의
以,써,이
益,더할,익
人,사람,인
仁,어질,인
因,인할,인
一,한,일
日,해,일
入,들,입
臥,엎드릴,와
王,임금,왕
外,바깥,외
用,쓸,용
元,으뜸,원
原,근원,원
願,원할,원
園,동산,원
遠,멀,원
怨,원망할,원
欲,하고자 할,욕
勇,날랠,용
容,얼굴,용
愚,어리석을,우
牛,소,우
雨,비,우
友,벗,우
宇,집,우
雄,수컷,웅
運,운반할,운
云,이를,운
雲,구름,운
圓,둥글,원
爲,할,위
危,위태할,위
威,위엄,위
遺,남길,유
油,기름,유
幼,어릴,유
柔,부드러울,유
猶,오히려,유
遊,놀,유
育,기를,육
酉,닭,유
銀,은,은
恩,은혜,은
乙,새,을
吟,읊을,음
陰,응달,음
泣,울,읍
依,의지할,의
矣,어조사,의
已,이미,이
漁,물고기 잡을,어
牙,어금니,아
亞,버금,아
芽,싹,아
雅,맑을,아
餓,굶주릴,아
俄,갑자기,아
啞,벙어리,아
娥,예쁠,아
峨,높을,아
蛾,나방,아
衙,관청,아
鵝,거위,아
岳,큰 산,악
嶽,큰 산,악
堊,백토,악
握,잡을,악
顎,턱,악
雁,기러기,안
岸,언덕,안
謁,뵐,알
壓,누를,압
押,누를,압
앙,昂,오를
秧,모,앙
央,가운데,앙
殃,재앙,앙
厓,언덕,애
涯,물가,애
厄,액,액
額,이마,액
埃,티끌,애
崖,벼랑,애
碍,막힐,애
艾,쑥,애
掖,낄,액
液,진액,액
櫻,앵두,앵
鶯,꾀꼬리,앵
於,어조사,어
御,어거할,어
淤,막힐,어
漁,물고기 잡을,어
憶,생각할,억
抑,누를,억
億,억,억
焉,어찌,언
彦,선비,언
諺,속담,언
堰,둑,언
偃,쓰러뜨릴,언
宴,잔치,연
燕,제비,연
沿,따를,연
燃,탈,연
演,펼,연
鉛,납,연
延,늘일,연
軟,연할,연
緣,인연,연
椽,서까래,연
烟,연기,연
硯,벼루,연
筵,돗자리,연
衍,넘칠,연
鳶,솔개,연
涅,진흙,녈
閱,볼,열
厭,싫어할,염
焰,불꽃,염
艶,고울,염
閻,마을 문,염
髥,구레나룻,염
染,물들일,염
鹽,소금,염
燁,빛날,엽
曳,끌,예
豫,미리,예
譽,기릴,예
銳,날카로울,예
濊,더러울,예
睿,밝을,예
穢,더러울,예
芮,풀,예
裔,후예,예
預,미리,예
泳,헤엄칠,영
詠,읊을,영
映,비칠,영
營,경영할,영
影,그림자,영
暎,비칠,영
瑩,옥빛,영
瀛,바다,영
盈,찰,영
穎,이삭,영
纓,갓끈,영
叡,밝을,예
五,다섯,오
吾,나,오
吳,나라 이름,오
奧,깊을,오
傲,거만할,오
嗚,탄식할,오
汚,더러울,오
翁,늙은이,옹
擁,품을,옹
緩,느릴,완
畏,두려워할,외
腰,허리,요
遙,멀,요
謠,노래,요
搖,흔들,요
慾,하고자 할,욕
辱,욕되게 할,욕
庸,보통,용
偶,짝,우
愚,어리석을,우
郵,우편,우
